Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-07-02T13:45:45.840502Z,,CASH TOP-UP,,,USD 5,USD,1.1267
2020-07-02T13:46:17.850572Z,TSLA,BUY - MARKET,0.00413701,USD 1208.60,USD 5,USD,1.1270
2020-07-09T14:47:08.498269Z,TSLA,SELL - MARKET,0.08223272,USD 1374.39,USD 112,USD,1.1302
2022-08-25T08:30:58.876448Z,TSLA,STOCK SPLIT,0.02233898,,USD 0,USD,1.0000
2023-06-25T10:18:16.585364Z,TSLA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.03350847,,USD 0,USD,1.0899
2023-08-07T19:58:10.939Z,DT,BUY - MARKET,0.02272727,USD 48.40,USD 1.10,USD,1.1018
2023-08-18T13:57:54.620Z,DT,BUY - MARKET,0.17277259,USD 46.13,USD 9.05,USD,1.0887
